央视频道,#genre#
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/bHJISHhtajJnUmZLaVI4Q0hWSkQ4VnNlZ29TYi9DbVo5NGlpL1NJK3NzSzJ0K09uOVUrZ0lpL0M3cVZlS3cvbVNISGJEUXZKdDkxaUVBWUR4WUR4OU9VcUVOUGlHS2ha/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源2
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3RaUSt6Y2p4OUYyWkd1L2x1elFPVmxscnM4SjhSODdsMGhwSFl3WVBPL2dsUU5kNlBrMWoybXVaVzA0dVltNk1UTHhNNk9lOEJMNk16L2ZoaVphakJV/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源3
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndvNnhWVzRaVFdPdjlJOUNQdG9IMVcybElwUEhBMUdocTFqam9jVFo1QlR0aFFHdi9jR0xody8xZ3haeUc4UXgwTExUbTBuZWZOS24ydmNHb0hFdXZtanhVUldlSnpyWkU9/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源4
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnhPalBMSHRWM1M3RXhhbVJtOWVPL0s4eXZNenlaUnRXQ1laN0hRNWhRQ01ET2pNTnRWUnRFTHJ2MUJPdEVsMFp0b09jYnJoMldsZ3c9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源5
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndXc2ZsVm9uelBaNnNLUXVoT09rU2VwdVVWLzVObURyV2UrUnh1dFVOVFYyalJHWEFCclFqQWU5SVpxbXZRQmpvc0graUdSRVVxS3c9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源6
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czVBb2JVU3U1RGdpZC9mU215MXB5VkhUV2RWa2gvZGdHdlp0QUtOQ2k2M085ck5Yei9EYWJxVDZENytaakd6aXdYakxBYkY1WEk1QTUyN0cxOHRtV1pK/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源7
CCTV-1 综合,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnlyU2Y3clpSbnV6am0weEREdFRBU2pIdWx6Tll6MmVqb29uWWpDbkptVjh3dEVnN3QwS0x4ZEdXVS9YM3BIb2YySTdjYnEyZ0hjQlE9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源8

CCTV1 综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1 综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1 综合,http://121.27.126.107:809/hls/1/index.m3u8
CCTV1 综合,http://121.27.126.129:809/hls/1/index.m3u8
CCTV1 综合,http://121.27.126.51:809/hls/1/index.m3u8
CCTV1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1 综合,http://gzly.hkychina.com:6001/rtp/239.252.219.200:5140?Cf=cfss.cc
CCTV1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2 财经,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV2 财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2 财经,http://gzly.hkychina.com:6001/rtp/239.252.220.183:5140?Cf=cfss.cc
CCTV2 财经,http://121.27.126.129:809/hls/2/index.m3u8
CCTV2 财经,http://121.27.126.107:809/hls/2/index.m3u8
CCTV2 财经,http://121.27.126.51:809/hls/2/index.m3u8
CCTV2 财经,http://123.118.51.157:8888/rtp/239.3.1.60:8084
CCTV2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2 财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
