CCTV,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农村农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV-1综合,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576803.m3u8
CCTV-2财经,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV-3综艺,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV-4中文国际,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV-5体育,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576403.m3u8
CCTV-5+体育赛事,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV-6电影,http://183.204.13.13/1.v.smtcdns.net/mobileliveds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV-6电影,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022574303.m3u8
CCTV-7国防军事,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV-8电视剧,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV-9纪录,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022576003.m3u8
CCTV-10科教,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022573001.m3u8
CCTV-11戏曲,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575903.m3u8
CCTV-12社会与法,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575803.m3u8
CCTV-13新闻,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575703.m3u8
CCTV-14少儿,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575603.m3u8
CCTV-15音乐,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV-16奥林匹克,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575403.m3u8
CCTV-16奥林匹克,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV-17农村农业,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2020603421.m3u8

CCTV央视台球,http://183.204.13.13/1.v.smtcdns.net/hlslivetxcdn.ysp.cctv.cn/ysp/2012513703.m3u8

CCTV-1综合,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/1/index.m3u8
CCTV-2财经,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/2/index.m3u8
CCTV-3综艺,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/3/index.m3u8
CCTV-4中文国际,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/4/index.m3u8
CCTV-5体育,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/5/index.m3u8
CCTV-5+体育赛事,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/16/index.m3u8
CCTV-6电影,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/6/index.m3u8
CCTV-7国防军事,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/7/index.m3u8
CCTV-8电视剧,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/8/index.m3u8
CCTV-9纪录,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/9/index.m3u8
CCTV-10科教,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/10/index.m3u8
CCTV-12社会与法,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/12/index.m3u8
CCTV-13新闻,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/13/index.m3u8
CCTV-14少儿,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/14/index.m3u8
CCTV-15音乐,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/15/index.m3u8
CCTV-17农村农业,http://84a6b2ef5c657f63web.olt.sczhgx.com:8999/hls/17/index.m3u8

CCTV-1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2财经,http://39.134.66.110/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4中文国际,http://39.134.66.110/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+体育赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7国防军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11戏曲,http://39.134.66.110/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12社会与法,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13新闻,http://39.134.66.110/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15音乐,http://39.134.66.110/PLTV/88888888/224/3221225513/index.m3u8
CCTV-16奥林匹克,http://39.134.66.110/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17农村农业,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CCTV-1综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2财经,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3综艺,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4中文国际,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5体育,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6电影,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
